labels,files,cl2
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_236108.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_238343.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_240541.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_242632.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_244729.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_246935.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_249158.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_251441.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_253741.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_256027.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_258226.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_260334.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_262516.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_264772.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_267099.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_269384.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_271656.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_273967.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_276235.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_278518.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_280814.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_283096.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_285363.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_287655.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_289971.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_292281.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_294581.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_296889.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_299206.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_301494.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_303773.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_306035.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_308349.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_310626.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_312825.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_315245.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_317560.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_319904.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_322275.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_324641.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_326986.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_329339.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_331704.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_334056.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_336385.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_338720.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_341075.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_343409.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_345722.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_348063.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_350410.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_352711.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_355015.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_357327.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_359634.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_361894.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_364158.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_366482.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_368824.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_371131.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_373428.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_375715.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_378005.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_380312.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_382607.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_384915.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_387241.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_389563.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_391924.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_394243.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_396553.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_398853.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_401163.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_403509.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_405836.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_408151.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_410477.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_412816.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_415143.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_417445.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_419745.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_421994.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_424339.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_426661.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_428992.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_431315.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_433648.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_435951.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_438268.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_440622.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_442992.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_445362.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_447695.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_450038.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_452390.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_454651.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_457045.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_459380.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_461721.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_464049.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_466404.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_468762.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_471139.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_473498.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_475851.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_478195.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_480494.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_482801.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_485073.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_487423.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_489788.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_492145.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_494491.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_496712.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_499114.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_501448.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_503794.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_506125.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_508455.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_510804.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_513135.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_515476.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_517832.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_520149.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_522511.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_524890.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_527243.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_529599.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_531967.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_534307.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_536644.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_538993.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_541334.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_543689.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_546022.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_548334.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_550639.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_552974.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_555323.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_557667.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_559997.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_562308.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_564601.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_566899.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_569204.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_571538.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_573893.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_576248.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_578600.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_580947.png,N
N,C:\Users\HP\Documents\Varun\DHAI\Capstone\checkpoint\spectogram\specgram_N_100_583239.png,N
